"Estimated resident population by local government area (LGA), Queensland, 2001 to 2025p",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LGA,Estimated resident population at 30 June,,,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022r,2023r,2024r,2025p
,— number —,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Whitsunday (R),"27,396","27,996","28,491","28,977","29,606","30,255","30,759","31,337","31,838","32,140","32,416","33,397","34,113","34,362","34,509","34,538","35,083","35,651","36,266","37,105","37,642","38,420","39,621","40,639","41,374"
Winton (S),"1,585","1,567","1,543","1,473","1,454","1,423","1,403","1,372","1,371","1,359","1,380","1,345","1,312","1,276","1,222","1,154","1,149","1,155","1,150","1,130","1,133","1,131","1,130","1,138","1,152"
Woorabinda (S),"1,014",987,966,943,915,886,902,916,934,957,976,984,986,990,989,999,997,999,"1,005","1,020","1,040","1,056","1,071","1,083","1,087"
Wujal Wujal (S),366,361,356,347,342,336,325,319,311,297,287,287,289,291,287,292,292,290,289,287,284,285,292,297,301
Yarrabah (S),"2,236","2,278","2,323","2,365","2,410","2,468","2,498","2,531","2,535","2,588","2,595","2,643","2,686","2,694","2,695","2,702","2,663","2,643","2,621","2,606","2,597","2,617","2,636","2,654","2,669"
,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland,"3,571,469","3,653,123","3,743,121","3,829,970","3,918,494","4,007,992","4,111,018","4,219,505","4,328,771","4,404,744","4,476,778","4,568,687","4,652,824","4,719,653","4,777,692","4,845,152","4,926,380","5,006,623","5,088,847","5,165,613","5,215,814","5,310,905","5,450,235","5,571,890","5,669,764"
,,,,,,,,,,,,,,,,,,,,,,,,,
p = preliminary     r = revised    (C) = City     (R) = Regional Council     (S) = Shire     (T) = Town,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Geographies are based on Edition 3, 2021 of the Australian Statistical Geography Standard (ASGS).",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: ABS Regional Population Growth, Australia, 2024-25 (various editions).",,,,,,,,,,,,,,,,,,,,,,,,,
